date,interest,value,Positive,Neutral,Negative
2019-10-07,0.04857142857142857,0.11079666666666667,0.6666666666666666,0.3333333333333333,0.0
2019-10-08,0.047142857142857146,0.11667999999999999,0.0,0.0,1.0
2019-10-09,0.045714285714285714,0.11986333333333332,,,
2019-10-10,0.04428571428571429,0.12226666666666668,0.5,0.5,0.0
2019-10-11,0.04285714285714286,0.11619666666666668,0.0,1.0,0.0
2019-10-12,0.04142857142857143,0.10822999999999999,1.0,0.0,0.0
2019-10-13,0.04,0.10630333333333332,1.0,0.0,0.0
2019-10-14,0.04142857142857143,0.11323666666666667,1.0,0.0,0.0
2019-10-15,0.04285714285714286,0.10946999999999998,,,
2019-10-16,0.04428571428571429,0.10438666666666667,,,
2019-10-17,0.045714285714285714,0.10445666666666667,0.5,0.5,0.0
2019-10-18,0.047142857142857146,0.10209,1.0,0.0,0.0
2019-10-19,0.04857142857142857,0.10490333333333332,1.0,0.0,0.0
2019-10-20,0.05,0.10826666666666666,1.0,0.0,0.0
2019-10-21,0.05,0.11108333333333334,0.5,0.5,0.0
2019-10-22,0.05,0.10926333333333332,,,
2019-10-23,0.05,0.10580333333333332,1.0,0.0,0.0
2019-10-24,0.05,0.10475999999999999,,,
2019-10-25,0.05,0.14197333333333334,0.5,0.5,0.0
2019-10-26,0.05,0.14831999999999998,0.5,0.5,0.0
2019-10-27,0.05,0.11897333333333333,0.0,1.0,0.0
2019-10-28,0.05,0.11903333333333334,,,
2019-10-29,0.05,0.12021,1.0,0.0,0.0
2019-10-30,0.05,0.12209666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-10-31,0.05,0.12105333333333332,,,
2019-11-01,0.05,0.11984333333333334,1.0,0.0,0.0
2019-11-02,0.05,0.11714000000000001,,,
2019-11-03,0.05,0.11672666666666667,0.3333333333333333,0.6666666666666666,0.0
2019-11-04,0.04857142857142857,0.1195,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-11-05,0.047142857142857146,0.12235333333333333,,,
2019-11-06,0.045714285714285714,0.12509333333333333,0.0,1.0,0.0
2019-11-07,0.04428571428571429,0.12394,1.0,0.0,0.0
2019-11-08,0.04285714285714286,0.12128666666666665,,,
2019-11-09,0.04142857142857143,0.1202,,,
2019-11-10,0.04,0.12009666666666666,1.0,0.0,0.0
2019-11-11,0.04,0.11699333333333335,,,
2019-11-12,0.04,0.11531666666666668,1.0,0.0,0.0
2019-11-13,0.04,0.11535666666666666,,,
2019-11-14,0.04,0.11667666666666665,1.0,0.0,0.0
2019-11-15,0.04,0.11920000000000001,0.5,0.5,0.0
2019-11-16,0.04,0.11702333333333333,,,
2019-11-17,0.04,0.11792666666666665,0.5,0.5,0.0
2019-11-18,0.04142857142857143,0.11839666666666669,,,
2019-11-19,0.04285714285714286,0.11702333333333333,1.0,0.0,0.0
